Date,Predicted_Price
2024-11-02,13.70998085533426
2024-11-03,13.659375619982246
2024-11-04,13.608770384630231
2024-11-05,13.558165149278215
2024-11-06,13.507559913926201
2024-11-07,13.456954678574187
2024-11-08,13.406349443222172
2024-11-09,13.355744207870156
2024-11-10,13.305138972518142
2024-11-11,13.254533737166128
2024-11-12,13.203928501814113
2024-11-13,13.153323266462097
2024-11-14,13.102718031110083
2024-11-15,13.052112795758068
2024-11-16,13.001507560406052
2024-11-17,12.950902325054038
2024-11-18,12.900297089702024
2024-11-19,12.84969185435001
2024-11-20,12.799086618997993
2024-11-21,12.748481383645979
2024-11-22,12.697876148293965
2024-11-23,12.64727091294195
2024-11-24,12.596665677589934
2024-11-25,12.54606044223792
2024-11-26,12.495455206885905
2024-11-27,12.44484997153389
2024-11-28,12.394244736181875
2024-11-29,12.34363950082986
2024-11-30,12.293034265477846
2024-12-01,12.24242903012583
2024-12-02,12.191823794773816
2024-12-03,12.141218559421802
2024-12-04,12.090613324069787
2024-12-05,12.040008088717771
2024-12-06,11.989402853365757
2024-12-07,11.938797618013743
2024-12-08,11.888192382661726
2024-12-09,11.837587147309712
2024-12-10,11.786981911957698
2024-12-11,11.736376676605683
2024-12-12,11.685771441253667
2024-12-13,11.635166205901653
2024-12-14,11.584560970549639
2024-12-15,11.533955735197624
2024-12-16,11.483350499845608
2024-12-17,11.432745264493594
2024-12-18,11.38214002914158
2024-12-19,11.331534793789563
2024-12-20,11.280929558437549
2024-12-21,11.230324323085535
2024-12-22,11.17971908773352
2024-12-23,11.129113852381504
2024-12-24,11.07850861702949
2024-12-25,11.027903381677476
2024-12-26,10.977298146325461
2024-12-27,10.926692910973445
2024-12-28,10.87608767562143
2024-12-29,10.825482440269417
2024-12-30,10.7748772049174
2024-12-31,10.724271969565386
2025-01-01,10.673666734213372
2025-01-02,10.623061498861357
2025-01-03,10.572456263509341
2025-01-04,10.521851028157329
2025-01-05,10.471245792805313
2025-01-06,10.420640557453297
2025-01-07,10.370035322101284
2025-01-08,10.319430086749268
2025-01-09,10.268824851397252
2025-01-10,10.21821961604524
2025-01-11,10.167614380693223
2025-01-12,10.117009145341207
2025-01-13,10.066403909989194
2025-01-14,10.015798674637178
2025-01-15,9.965193439285166
2025-01-16,9.91458820393315
2025-01-17,9.863982968581134
2025-01-18,9.813377733229121
2025-01-19,9.762772497877105
2025-01-20,9.712167262525089
2025-01-21,9.661562027173076
2025-01-22,9.61095679182106
2025-01-23,9.560351556469044
2025-01-24,9.509746321117031
2025-01-25,9.459141085765015
2025-01-26,9.408535850413003
2025-01-27,9.357930615060987
2025-01-28,9.30732537970897
2025-01-29,9.256720144356958
2025-01-30,9.206114909004942
2025-01-31,9.155509673652926
2025-02-01,9.104904438300913
2025-02-02,9.054299202948897
2025-02-03,9.003693967596881
2025-02-04,8.953088732244868
2025-02-05,8.902483496892852
2025-02-06,8.85187826154084
2025-02-07,8.801273026188824
2025-02-08,8.750667790836808
2025-02-09,8.700062555484795
2025-02-10,8.649457320132779
2025-02-11,8.598852084780763
2025-02-12,8.54824684942875
2025-02-13,8.497641614076734
2025-02-14,8.447036378724718
2025-02-15,8.396431143372705
2025-02-16,8.34582590802069
2025-02-17,8.295220672668677
2025-02-18,8.24461543731666
2025-02-19,8.194010201964645
2025-02-20,8.143404966612632
2025-02-21,8.092799731260616
2025-02-22,8.0421944959086
2025-02-23,7.991589260556587
2025-02-24,7.940984025204571
2025-02-25,7.890378789852555
2025-02-26,7.8397735545005425
2025-02-27,7.789168319148526
2025-02-28,7.738563083796514
2025-03-01,7.687957848444498
2025-03-02,7.637352613092482
2025-03-03,7.586747377740469
2025-03-04,7.536142142388453
2025-03-05,7.485536907036437
2025-03-06,7.434931671684424
2025-03-07,7.384326436332408
2025-03-08,7.333721200980392
2025-03-09,7.2831159656283795
2025-03-10,7.232510730276363
2025-03-11,7.181905494924351
2025-03-12,7.131300259572335
2025-03-13,7.080695024220319
2025-03-14,7.030089788868306
2025-03-15,6.97948455351629
2025-03-16,6.928879318164274
2025-03-17,6.878274082812261
2025-03-18,6.827668847460245
2025-03-19,6.777063612108229
2025-03-20,6.7264583767562165
2025-03-21,6.6758531414042
2025-03-22,6.625247906052184
2025-03-23,6.574642670700172
2025-03-24,6.524037435348156
2025-03-25,6.473432199996143
2025-03-26,6.422826964644127
2025-03-27,6.372221729292111
2025-03-28,6.321616493940098
2025-03-29,6.271011258588082
2025-03-30,6.220406023236066
2025-03-31,6.1698007878840535
2025-04-01,6.119195552532037
2025-04-02,6.068590317180021
2025-04-03,6.017985081828009
2025-04-04,5.967379846475993
2025-04-05,5.91677461112398
2025-04-06,5.866169375771964
2025-04-07,5.815564140419948
2025-04-08,5.764958905067935
2025-04-09,5.714353669715919
2025-04-10,5.663748434363903
2025-04-11,5.6131431990118905
2025-04-12,5.562537963659874
2025-04-13,5.511932728307858
2025-04-14,5.461327492955846
2025-04-15,5.41072225760383
2025-04-16,5.360117022251817
2025-04-17,5.309511786899801
2025-04-18,5.258906551547785
2025-04-19,5.208301316195772
2025-04-20,5.157696080843756
2025-04-21,5.10709084549174
2025-04-22,5.0564856101397275
2025-04-23,5.005880374787711
2025-04-24,4.955275139435695
2025-04-25,4.904669904083683
2025-04-26,4.854064668731667
2025-04-27,4.803459433379654
2025-04-28,4.752854198027638
2025-04-29,4.702248962675622
2025-04-30,4.651643727323609
